<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HALS,D,29/06/16,000000,1.420.0000000,1.420.0000000,1.405.0000000,1.405.0000000,2
HALS,D,30/06/16,000000,1.430.0000000,1.440.0000000,1.370.0000000,1.440.0000000,21
HALS,D,01/07/16,000000,1.425.0000000,1.440.0000000,1.390.0000000,1.440.0000000,24
HALS,D,04/07/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,2
HALS,D,08/07/16,000000,1.400.0000000,1.430.0000000,1.400.0000000,1.430.0000000,2
HALS,D,12/07/16,000000,1.445.0000000,1.445.0000000,1.445.0000000,1.445.0000000,1
HALS,D,13/07/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,1
HALS,D,14/07/16,000000,1.400.0000000,1.400.0000000,1.400.0000000,1.400.0000000,2
HALS,D,18/07/16,000000,1.405.0000000,1.415.0000000,1.405.0000000,1.415.0000000,22
HALS,D,19/07/16,000000,1.395.0000000,1.405.0000000,1.370.0000000,1.405.0000000,12
HALS,D,22/07/16,000000,1.395.0000000,1.405.0000000,1.390.0000000,1.405.0000000,4
HALS,D,25/07/16,000000,1.395.0000000,1.440.0000000,1.230.0000000,1.365.0000000,36
HALS,D,26/07/16,000000,1.370.0000000,1.380.0000000,1.355.0000000,1.375.0000000,25
HALS,D,27/07/16,000000,1.365.0000000,1.385.0000000,1.355.0000000,1.385.0000000,22
HALS,D,29/07/16,000000,1.380.0000000,1.395.0000000,1.380.0000000,1.395.0000000,2
HALS,D,01/08/16,000000,1.380.0000000,1.415.0000000,1.315.0000000,1.415.0000000,23
HALS,D,02/08/16,000000,1.400.0000000,1.435.0000000,1.395.0000000,1.400.0000000,14
HALS,D,04/08/16,000000,1.400.0000000,1.400.0000000,1.400.0000000,1.400.0000000,2
HALS,D,05/08/16,000000,1.405.0000000,1.410.0000000,1.405.0000000,1.410.0000000,54
HALS,D,08/08/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,1
HALS,D,10/08/16,000000,1.425.0000000,1.425.0000000,1.420.0000000,1.420.0000000,3
HALS,D,11/08/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,1
HALS,D,12/08/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,1
HALS,D,15/08/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,38
HALS,D,16/08/16,000000,1.435.0000000,1.435.0000000,1.415.0000000,1.415.0000000,6
HALS,D,17/08/16,000000,1.415.0000000,1.415.0000000,1.360.0000000,1.400.0000000,13
HALS,D,18/08/16,000000,1.410.0000000,1.440.0000000,1.410.0000000,1.440.0000000,27
HALS,D,19/08/16,000000,1.420.0000000,1.430.0000000,1.420.0000000,1.430.0000000,3
HALS,D,22/08/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,2
HALS,D,23/08/16,000000,1.420.0000000,1.435.0000000,1.420.0000000,1.435.0000000,2
HALS,D,24/08/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,1
HALS,D,25/08/16,000000,1.445.0000000,1.445.0000000,1.425.0000000,1.430.0000000,19
HALS,D,26/08/16,000000,1.440.0000000,1.440.0000000,1.440.0000000,1.440.0000000,1
HALS,D,29/08/16,000000,1.430.0000000,1.430.0000000,1.410.0000000,1.425.0000000,29
HALS,D,01/09/16,000000,1.440.0000000,1.445.0000000,1.440.0000000,1.445.0000000,19
HALS,D,02/09/16,000000,1.435.0000000,1.465.0000000,1.435.0000000,1.465.0000000,31
HALS,D,05/09/16,000000,1.455.0000000,1.460.0000000,1.455.0000000,1.460.0000000,16
HALS,D,07/09/16,000000,1.460.0000000,1.480.0000000,1.460.0000000,1.465.0000000,4
HALS,D,08/09/16,000000,1.470.0000000,1.475.0000000,1.460.0000000,1.460.0000000,12
HALS,D,09/09/16,000000,1.460.0000000,1.465.0000000,1.455.0000000,1.455.0000000,4
HALS,D,12/09/16,000000,1.455.0000000,1.455.0000000,1.445.0000000,1.445.0000000,23
HALS,D,13/09/16,000000,1.440.0000000,1.440.0000000,1.440.0000000,1.440.0000000,1
HALS,D,14/09/16,000000,1.440.0000000,1.440.0000000,1.425.0000000,1.425.0000000,25
HALS,D,16/09/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,7
HALS,D,19/09/16,000000,1.425.0000000,1.425.0000000,1.425.0000000,1.425.0000000,5
HALS,D,21/09/16,000000,1.405.0000000,1.420.0000000,1.405.0000000,1.420.0000000,11
HALS,D,26/09/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,1
HALS,D,27/09/16,000000,1.465.0000000,1.470.0000000,1.410.0000000,1.410.0000000,14
HALS,D,28/09/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,1
HALS,D,29/09/16,000000,1.435.0000000,1.450.0000000,1.405.0000000,1.405.0000000,67
HALS,D,30/09/16,000000,1.420.0000000,1.420.0000000,1.420.0000000,1.420.0000000,1
HALS,D,03/10/16,000000,1.405.0000000,1.415.0000000,1.400.0000000,1.415.0000000,3
HALS,D,04/10/16,000000,1.335.0000000,1.405.0000000,1.330.0000000,1.405.0000000,13
HALS,D,06/10/16,000000,1.390.0000000,1.395.0000000,1.385.0000000,1.395.0000000,4
HALS,D,07/10/16,000000,1.380.0000000,1.385.0000000,1.375.0000000,1.375.0000000,4
HALS,D,10/10/16,000000,1.375.0000000,1.375.0000000,1.355.0000000,1.375.0000000,14
HALS,D,11/10/16,000000,1.360.0000000,1.360.0000000,1.350.0000000,1.350.0000000,4
HALS,D,12/10/16,000000,1.340.0000000,1.340.0000000,1.310.0000000,1.315.0000000,12
HALS,D,13/10/16,000000,1.300.0000000,1.300.0000000,1.235.0000000,1.270.0000000,14
HALS,D,14/10/16,000000,1.260.0000000,1.260.0000000,1.240.0000000,1.250.0000000,16
HALS,D,17/10/16,000000,1.230.0000000,1.260.0000000,1.220.0000000,1.260.0000000,121
HALS,D,18/10/16,000000,1.240.0000000,1.260.0000000,1.240.0000000,1.260.0000000,5
HALS,D,20/10/16,000000,1.180.0000000,1.260.0000000,1.180.0000000,1.260.0000000,29
HALS,D,24/10/16,000000,1.270.0000000,1.270.0000000,1.230.0000000,1.250.0000000,8
HALS,D,25/10/16,000000,1.235.0000000,1.255.0000000,1.235.0000000,1.255.0000000,3
HALS,D,27/10/16,000000,1.245.0000000,1.265.0000000,1.245.0000000,1.265.0000000,5
HALS,D,28/10/16,000000,1.245.0000000,1.245.0000000,1.175.0000000,1.235.0000000,17
HALS,D,01/11/16,000000,1.240.0000000,1.245.0000000,1.240.0000000,1.245.0000000,2
HALS,D,07/11/16,000000,1.250.0000000,1.265.0000000,1.250.0000000,1.265.0000000,7
HALS,D,09/11/16,000000,1.295.0000000,1.365.0000000,1.290.0000000,1.355.0000000,75
HALS,D,11/11/16,000000,1.285.0000000,1.335.0000000,1.265.0000000,1.325.0000000,123
HALS,D,14/11/16,000000,1.285.0000000,1.285.0000000,1.195.0000000,1.265.0000000,92
HALS,D,15/11/16,000000,1.210.0000000,1.250.0000000,1.200.0000000,1.250.0000000,109
HALS,D,16/11/16,000000,1.200.0000000,1.260.0000000,1.200.0000000,1.260.0000000,159
HALS,D,18/11/16,000000,1.215.0000000,1.290.0000000,1.215.0000000,1.290.0000000,4
HALS,D,21/11/16,000000,1.285.0000000,1.285.0000000,1.285.0000000,1.285.0000000,1
HALS,D,22/11/16,000000,1.285.0000000,1.315.0000000,1.285.0000000,1.310.0000000,58
HALS,D,23/11/16,000000,1.305.0000000,1.305.0000000,1.305.0000000,1.305.0000000,1
HALS,D,28/11/16,000000,1.300.0000000,1.300.0000000,1.300.0000000,1.300.0000000,1
HALS,D,29/11/16,000000,1.295.0000000,1.305.0000000,1.265.0000000,1.305.0000000,49
HALS,D,30/11/16,000000,1.295.0000000,1.295.0000000,1.295.0000000,1.295.0000000,1
HALS,D,01/12/16,000000,1.290.0000000,1.295.0000000,1.275.0000000,1.295.0000000,6
HALS,D,02/12/16,000000,1.280.0000000,1.280.0000000,1.280.0000000,1.280.0000000,1
