<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,18/05/16,000000,8.929.0000000,9.165.0000000,8.880.0000000,9.095.0000000,203.998
GMKN,D,19/05/16,000000,9.067.0000000,9.245.0000000,9.052.0000000,9.190.0000000,263.639
GMKN,D,20/05/16,000000,9.219.0000000,9.304.0000000,9.084.0000000,9.120.0000000,176.534
GMKN,D,23/05/16,000000,9.120.0000000,9.133.0000000,8.980.0000000,9.031.0000000,118.574
GMKN,D,24/05/16,000000,9.018.0000000,9.145.0000000,8.982.0000000,9.085.0000000,88.492
GMKN,D,25/05/16,000000,9.117.0000000,9.194.0000000,9.065.0000000,9.079.0000000,139.112
GMKN,D,26/05/16,000000,9.100.0000000,9.230.0000000,9.054.0000000,9.152.0000000,164.566
GMKN,D,27/05/16,000000,9.170.0000000,9.229.0000000,9.123.0000000,9.140.0000000,93.203
GMKN,D,30/05/16,000000,9.190.0000000,9.200.0000000,9.133.0000000,9.200.0000000,37.413
GMKN,D,31/05/16,000000,9.200.0000000,9.284.0000000,8.990.0000000,8.990.0000000,209.278
GMKN,D,01/06/16,000000,9.009.0000000,9.106.0000000,8.889.0000000,9.029.0000000,148.007
GMKN,D,02/06/16,000000,9.028.0000000,9.073.0000000,8.899.0000000,8.925.0000000,85.744
GMKN,D,03/06/16,000000,8.978.0000000,9.100.0000000,8.829.0000000,8.859.0000000,148.307
GMKN,D,06/06/16,000000,8.860.0000000,9.067.0000000,8.859.0000000,8.968.0000000,130.311
GMKN,D,07/06/16,000000,8.981.0000000,9.048.0000000,8.920.0000000,8.974.0000000,138.816
GMKN,D,08/06/16,000000,8.983.0000000,8.989.0000000,8.755.0000000,8.873.0000000,173.169
GMKN,D,09/06/16,000000,8.872.0000000,8.897.0000000,8.620.0000000,8.699.0000000,203.117
GMKN,D,10/06/16,000000,8.687.0000000,8.846.0000000,8.675.0000000,8.696.0000000,117.074
GMKN,D,14/06/16,000000,8.701.0000000,8.749.0000000,8.611.0000000,8.670.0000000,165.898
GMKN,D,15/06/16,000000,8.670.0000000,8.673.0000000,8.502.0000000,8.553.0000000,227.445
GMKN,D,16/06/16,000000,8.550.0000000,8.550.0000000,8.355.0000000,8.498.0000000,229.861
