<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,D,19/08/16,000000,10.060.0000000,10.060.0000000,9.830.0000000,9.890.0000000,31
LNZL,D,22/08/16,000000,9.870.0000000,9.870.0000000,9.600.0000000,9.640.0000000,161
LNZL,D,23/08/16,000000,9.600.0000000,10.160.0000000,8.860.0000000,9.960.0000000,1.197
LNZL,D,24/08/16,000000,9.890.0000000,9.890.0000000,9.630.0000000,9.710.0000000,51
LNZL,D,25/08/16,000000,9.530.0000000,9.570.0000000,9.310.0000000,9.400.0000000,169
LNZL,D,26/08/16,000000,9.400.0000000,9.560.0000000,9.310.0000000,9.310.0000000,98
LNZL,D,29/08/16,000000,9.180.0000000,9.200.0000000,9.020.0000000,9.100.0000000,278
LNZL,D,30/08/16,000000,9.110.0000000,9.270.0000000,9.000.0000000,9.150.0000000,198
LNZL,D,31/08/16,000000,9.240.0000000,9.270.0000000,9.200.0000000,9.210.0000000,24
LNZL,D,01/09/16,000000,9.210.0000000,9.230.0000000,9.090.0000000,9.090.0000000,33
LNZL,D,02/09/16,000000,9.020.0000000,10.200.0000000,9.010.0000000,10.100.0000000,1.356
LNZL,D,05/09/16,000000,10.120.0000000,10.190.0000000,9.800.0000000,10.180.0000000,308
LNZL,D,06/09/16,000000,10.330.0000000,10.330.0000000,10.100.0000000,10.100.0000000,20
LNZL,D,07/09/16,000000,10.100.0000000,10.200.0000000,10.100.0000000,10.100.0000000,168
LNZL,D,08/09/16,000000,10.090.0000000,10.190.0000000,10.070.0000000,10.110.0000000,232
LNZL,D,09/09/16,000000,10.130.0000000,10.170.0000000,10.060.0000000,10.170.0000000,104
LNZL,D,12/09/16,000000,10.090.0000000,10.120.0000000,9.830.0000000,10.010.0000000,21
LNZL,D,13/09/16,000000,9.850.0000000,9.850.0000000,9.690.0000000,9.700.0000000,39
LNZL,D,14/09/16,000000,9.700.0000000,10.200.0000000,9.500.0000000,10.100.0000000,338
LNZL,D,15/09/16,000000,10.010.0000000,10.180.0000000,10.010.0000000,10.100.0000000,85
LNZL,D,16/09/16,000000,10.140.0000000,10.190.0000000,10.070.0000000,10.120.0000000,57
LNZL,D,19/09/16,000000,10.130.0000000,10.140.0000000,10.100.0000000,10.100.0000000,14
LNZL,D,20/09/16,000000,10.110.0000000,10.110.0000000,10.100.0000000,10.110.0000000,5
LNZL,D,21/09/16,000000,10.110.0000000,10.170.0000000,10.100.0000000,10.100.0000000,36
LNZL,D,22/09/16,000000,10.110.0000000,10.120.0000000,10.100.0000000,10.100.0000000,137
LNZL,D,23/09/16,000000,10.110.0000000,10.120.0000000,10.100.0000000,10.100.0000000,121
LNZL,D,26/09/16,000000,10.100.0000000,10.200.0000000,10.100.0000000,10.190.0000000,21
LNZL,D,27/09/16,000000,10.240.0000000,10.240.0000000,10.100.0000000,10.100.0000000,354
LNZL,D,28/09/16,000000,10.130.0000000,10.190.0000000,10.100.0000000,10.110.0000000,61
LNZL,D,29/09/16,000000,10.100.0000000,10.200.0000000,10.100.0000000,10.200.0000000,193
LNZL,D,30/09/16,000000,10.210.0000000,10.210.0000000,9.640.0000000,9.700.0000000,573
LNZL,D,03/10/16,000000,9.800.0000000,10.110.0000000,9.800.0000000,10.100.0000000,287
LNZL,D,04/10/16,000000,10.110.0000000,10.150.0000000,10.100.0000000,10.100.0000000,8
LNZL,D,05/10/16,000000,10.190.0000000,10.190.0000000,10.100.0000000,10.150.0000000,66
LNZL,D,06/10/16,000000,10.140.0000000,10.140.0000000,10.100.0000000,10.100.0000000,271
LNZL,D,07/10/16,000000,10.100.0000000,10.110.0000000,10.100.0000000,10.100.0000000,146
LNZL,D,10/10/16,000000,10.110.0000000,10.130.0000000,10.100.0000000,10.120.0000000,40
LNZL,D,11/10/16,000000,10.130.0000000,10.150.0000000,10.120.0000000,10.150.0000000,15
LNZL,D,12/10/16,000000,10.190.0000000,10.200.0000000,10.160.0000000,10.180.0000000,287
LNZL,D,13/10/16,000000,10.190.0000000,10.190.0000000,10.100.0000000,10.100.0000000,89
LNZL,D,14/10/16,000000,10.130.0000000,10.150.0000000,10.100.0000000,10.120.0000000,51
LNZL,D,17/10/16,000000,10.120.0000000,10.120.0000000,10.110.0000000,10.110.0000000,12
LNZL,D,18/10/16,000000,10.120.0000000,10.130.0000000,10.100.0000000,10.100.0000000,38
LNZL,D,19/10/16,000000,10.110.0000000,10.540.0000000,10.100.0000000,10.190.0000000,75
LNZL,D,20/10/16,000000,10.130.0000000,10.180.0000000,10.100.0000000,10.100.0000000,83
