<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILL,D,13/09/16,000000,1.800.0000000,1.800.0000000,1.800.0000000,1.800.0000000,1
ZILL,D,14/09/16,000000,1.785.0000000,1.785.0000000,1.780.0000000,1.780.0000000,6
ZILL,D,16/09/16,000000,1.795.0000000,1.800.0000000,1.770.0000000,1.770.0000000,3
ZILL,D,19/09/16,000000,1.770.0000000,1.770.0000000,1.650.0000000,1.735.0000000,13
ZILL,D,20/09/16,000000,1.715.0000000,1.760.0000000,1.655.0000000,1.760.0000000,62
ZILL,D,21/09/16,000000,1.785.0000000,1.980.0000000,1.755.0000000,1.850.0000000,123
ZILL,D,22/09/16,000000,1.835.0000000,1.835.0000000,1.835.0000000,1.835.0000000,1
ZILL,D,23/09/16,000000,1.825.0000000,1.865.0000000,1.800.0000000,1.835.0000000,59
ZILL,D,26/09/16,000000,1.815.0000000,1.830.0000000,1.760.0000000,1.830.0000000,16
ZILL,D,27/09/16,000000,1.805.0000000,1.805.0000000,1.800.0000000,1.805.0000000,17
ZILL,D,28/09/16,000000,1.800.0000000,1.825.0000000,1.780.0000000,1.780.0000000,24
ZILL,D,29/09/16,000000,1.810.0000000,1.890.0000000,1.810.0000000,1.810.0000000,87
ZILL,D,30/09/16,000000,1.805.0000000,1.860.0000000,1.770.0000000,1.860.0000000,42
ZILL,D,03/10/16,000000,1.810.0000000,1.810.0000000,1.805.0000000,1.805.0000000,10
ZILL,D,04/10/16,000000,1.835.0000000,1.900.0000000,1.805.0000000,1.805.0000000,88
ZILL,D,05/10/16,000000,1.840.0000000,1.865.0000000,1.725.0000000,1.800.0000000,101
ZILL,D,06/10/16,000000,1.770.0000000,1.785.0000000,1.675.0000000,1.785.0000000,256
ZILL,D,07/10/16,000000,1.750.0000000,1.795.0000000,1.685.0000000,1.795.0000000,176
ZILL,D,10/10/16,000000,1.765.0000000,1.790.0000000,1.760.0000000,1.760.0000000,12
ZILL,D,11/10/16,000000,1.760.0000000,1.780.0000000,1.680.0000000,1.705.0000000,65
ZILL,D,12/10/16,000000,1.690.0000000,1.715.0000000,1.615.0000000,1.710.0000000,102
ZILL,D,14/10/16,000000,1.700.0000000,1.700.0000000,1.700.0000000,1.700.0000000,1
ZILL,D,17/10/16,000000,1.700.0000000,1.700.0000000,1.690.0000000,1.690.0000000,13
ZILL,D,18/10/16,000000,1.700.0000000,1.700.0000000,1.650.0000000,1.695.0000000,18
ZILL,D,19/10/16,000000,1.675.0000000,1.680.0000000,1.650.0000000,1.670.0000000,13
ZILL,D,20/10/16,000000,1.615.0000000,1.690.0000000,1.615.0000000,1.650.0000000,11
ZILL,D,21/10/16,000000,1.675.0000000,1.840.0000000,1.675.0000000,1.715.0000000,91
ZILL,D,24/10/16,000000,1.680.0000000,1.740.0000000,1.660.0000000,1.665.0000000,29
ZILL,D,25/10/16,000000,1.690.0000000,1.840.0000000,1.650.0000000,1.755.0000000,200
ZILL,D,26/10/16,000000,1.740.0000000,1.765.0000000,1.705.0000000,1.725.0000000,25
ZILL,D,27/10/16,000000,1.705.0000000,1.840.0000000,1.705.0000000,1.840.0000000,27
ZILL,D,28/10/16,000000,1.790.0000000,1.940.0000000,1.780.0000000,1.820.0000000,157
ZILL,D,31/10/16,000000,1.865.0000000,1.885.0000000,1.790.0000000,1.790.0000000,38
ZILL,D,01/11/16,000000,1.825.0000000,1.900.0000000,1.795.0000000,1.830.0000000,73
ZILL,D,02/11/16,000000,1.835.0000000,1.900.0000000,1.805.0000000,1.825.0000000,119
ZILL,D,03/11/16,000000,1.820.0000000,1.845.0000000,1.790.0000000,1.800.0000000,71
ZILL,D,07/11/16,000000,1.785.0000000,1.790.0000000,1.755.0000000,1.755.0000000,22
ZILL,D,08/11/16,000000,1.715.0000000,1.785.0000000,1.715.0000000,1.760.0000000,25
ZILL,D,09/11/16,000000,1.765.0000000,1.810.0000000,1.750.0000000,1.810.0000000,19
ZILL,D,10/11/16,000000,1.780.0000000,1.810.0000000,1.755.0000000,1.810.0000000,16
ZILL,D,11/11/16,000000,1.810.0000000,1.810.0000000,1.655.0000000,1.745.0000000,117
ZILL,D,14/11/16,000000,1.765.0000000,1.775.0000000,1.660.0000000,1.695.0000000,96
ZILL,D,15/11/16,000000,1.680.0000000,1.710.0000000,1.620.0000000,1.620.0000000,117
ZILL,D,16/11/16,000000,1.660.0000000,1.660.0000000,1.560.0000000,1.600.0000000,258
ZILL,D,17/11/16,000000,1.600.0000000,1.610.0000000,1.580.0000000,1.610.0000000,12
ZILL,D,18/11/16,000000,1.610.0000000,1.615.0000000,1.575.0000000,1.615.0000000,21
ZILL,D,21/11/16,000000,1.590.0000000,1.620.0000000,1.500.0000000,1.585.0000000,171
ZILL,D,22/11/16,000000,1.560.0000000,1.560.0000000,1.425.0000000,1.450.0000000,161
ZILL,D,23/11/16,000000,1.480.0000000,1.530.0000000,1.465.0000000,1.505.0000000,96
ZILL,D,24/11/16,000000,1.500.0000000,1.530.0000000,1.500.0000000,1.515.0000000,31
ZILL,D,25/11/16,000000,1.545.0000000,1.545.0000000,1.530.0000000,1.530.0000000,31
ZILL,D,28/11/16,000000,1.555.0000000,1.580.0000000,1.535.0000000,1.535.0000000,25
ZILL,D,29/11/16,000000,1.525.0000000,1.525.0000000,1.490.0000000,1.490.0000000,88
ZILL,D,30/11/16,000000,1.510.0000000,1.510.0000000,1.490.0000000,1.490.0000000,9
ZILL,D,01/12/16,000000,1.535.0000000,1.665.0000000,1.535.0000000,1.600.0000000,86
